,sentiment,New News
71,negative,"August Numbers Are In For Tesla: Here's A Path To A Disappointing 97,000 For Q3"
72,positive,Tesla: The Growing Nickel Problem
73,positive,Tesla: Revenue Vs. Profitability
74,positive,"Using Quantitative Models To Screen For Winning Trades, With Ruerd Heeg (Podcast)"
75,negative,Tesla Is Losing Its Biggest Asset: Its Brand
76,negative,Tesla: How Margins Could Rise Significantly
77,positive,Tesla: China Questions Arise
78,negative,Where The Bulls And Bears Are Wrong On Tesla
79,negative,Walmart Surfaces Tesla's Solar Problem
80,positive,How Tesla Model X And S Sales Numbers Were Savaged By Audi And Jaguar
81,positive,Tesla - China May Not Be Able To Shoulder The Heavy Future
82,negative,Tesla's Solar Struggles Continue
83,negative,Tesla's Robotaxi Red Herring
84,negative,Tesla's New Solar Rental Product Could Decimate Residential Solar Installers
85,positive,Tesla Focus Shifts To Sales Mix
86,positive,Tesla Needs More Money
87,neutral,Tesla Energy Storage Potential Given Boost At Company And Industry Levels
88,positive,The Best Tesla Can Hope For
89,negative,Tesla: Enjoy The Valuation Premium While It Lasts Because It's Going Away
90,positive,Tesla: Production Is A Sensitive Topic Now
91,positive,"Tesla's Model 3 Sales In Europe Declined In Q2, July, And Aug. 1-9"
92,negative,Tesla's Advantage In Behaviour Prediction For Autonomous Driving
93,positive,The Intrinsic Value Of Tesla
94,negative,Peak Tesla AKA The Growth Story Is Over
95,negative,Glencore's Mutanda Mine Closure Could Cripple Or Kill Tesla
96,positive,Tesla: One Year Later
97,positive,Tesla: No Such Thing As 'Structurally Bankrupt'
98,negative,Tesla Trade War Troubles
99,negative,"Tesla: Cars, Batteries, And Solar Roofs"
100,negative,Tesla: The Curious Case Of The Model 3 Lease
101,negative,Tesla's Accomplishments Are Widely Ignored
102,negative,Tesla Bets It All On China
103,positive,Tesla Is No Amazon
104,negative,Tesla: Here's A Problem
105,negative,Tesla: Q2 Is More Than Just A Disaster
106,negative,Tesla Is Structurally Bankrupt
107,negative,Tesla Reveals In Its 10-Q That It Doesn't Yet Have The Required Manufacturing License For China
108,positive,Tesla: We Have A Problem
109,positive,"Auto RACE: Ferrari Has The Lead, But Ford Is Making A Move (Video)"
110,negative,Both Facebook And Tesla Surprise The Market
111,negative,Tesla: When Records Don't Matter
112,negative,3 Key Takeaways From Tesla's Earnings Call
113,negative,Tesla: We're Going To Miss You When You're Gone
114,negative,"Tesla: Elon Musk Has Embraced Competition, But Things Are Changing"
115,negative,Tesla: Q2 2019 Earnings Preview
116,negative,Tesla: Demand Cliff At The Edge Of The Earth
117,positive,Tesla Slashes Model 3 Purchase And Lease Prices Again
118,positive,Model 3 Demand Remains Strong And May Push Tesla's Stock Higher
119,negative,The Tesla Pickup Truck Will Face Tough Questions On Reliability
120,negative,Tesla: Don't Miss The Forest For The Trees
121,negative,Tesla: Bad Week For Autopilot
122,negative,Tesla Earnings: Big Loss Likely Despite Record Deliveries
123,negative,Tesla: Don't Be Fooled By 'Record' Deliveries
124,positive,Tesla Short Interest Remains High
125,positive,Tesla: Q3 Profits
126,negative,"Tesla Quietly Cuts Model 3 Lease Prices Again, Signaling Weak Demand"
127,positive,Battery Developments Will Cement Leading Position Of BYD Auto And Tesla
128,negative,Tesla In The Rearview Mirror
129,positive,Tesla: An Interesting Reaction
130,positive,The Tesla Demand Mirage
131,negative,Tesla: The Great American Car Company
132,positive,Tesla Q2 Sets Quarterly Records
133,positive,Tesla: Europe Q2 Shows Cracks
134,neutral,"Tesla On Track For 88,000 Units Sold In Q2"
135,negative,Mission Accomplished: Tesla Insider Easy Money Options Exhausted
136,negative,Tesla: Close Isn't Good Enough
137,negative,Eyes On Tesla's Unit Cost And Ads ROI
138,positive,Tesla Is Losing The Race To Develop Solid-State Battery Tech
139,positive,Tesla's Model 3: Demand Is High
140,neutral,Tesla May Need Heavy Fleet Sales To Meet Q2 Guidance
141,positive,Tesla's Model S And X: Demand To Rebound
142,negative,Tesla Pickup Truck Claims Defy The Laws Of Physics
143,negative,The Audi eTron Has Now Outsold Tesla Model X And S
144,negative,Tesla: 3 Items To Watch
145,negative,Tesla To Use Panasonic Cells In China: A Costly And Risky Option
146,negative,Tesla Bears Don't Panic
147,negative,Tesla: Where Facts Don't Matter
148,positive,Tesla: Record Short Interest
149,positive,Tesla: When A Price Cut Is Not A Price Cut
150,positive,Tesla: Sell The Bounce
151,negative,Tesla: Why China Poses High Risks
152,negative,"Tesla Is Going To Sacrifice Profits For Delivery Numbers, Again"
153,positive,Tesla Likely Needs A Miracle June
154,positive,The Tide May Be Turning On Tesla Bears
155,positive,No White Knight Is Coming To Tesla's Rescue
156,positive,"May Sales Are In (Mostly): Tesla Has 80,000 Units Within Sight For Q2"
157,positive,Tesla: Focus On The Long Term
158,negative,Tesla's Travails: Curfew For A Corporate Teenager?
159,positive,Tesla's U.S. Electrification Lead Is Far From Shrinking
160,positive,Capital Markets Have Stopped Believing Tesla's Promises
161,negative,"Sell Tesla: Falling Gas Prices, The Next Demand Headache"
162,negative,Tesla's Model S Refresh Is Too Little Too Late
163,positive,Tesla: The Real Indicator Of Demand
164,negative,Tesla: Musk's Twitter Warning
165,negative,Tesla's Catastrophic Miscalculation
166,positive,Tesla And Real World Reinforcement Learning At Scale
167,negative,2 Fatal Flaws In Ark's 'Bear Case' For Tesla
168,positive,Tesla Could Fall To $35
169,positive,Tesla Is Melting
170,negative,Tesla: Theories Of Gravity
171,positive,Tesla's Model 3 Demand May Actually Be Rising
172,negative,The Tesla Bull Camp Continues To Shrink As Outlook Darkens
173,negative,"Tesla: Liquidity Aside, Valuation Has Never Been So Reasonable As It's Now"
174,negative,"Tesla Bears Need To Take A Step Back, Too"
175,negative,Tesla Gets Black Flagged In Growth Race
176,negative,Tesla Splits The Hard Way
177,positive,The Options Market Has A Glimmer Of Hope For Tesla Bulls
178,positive,Crash Protection Kicks In For Tesla
179,negative,"Tesla: Broken Stock, Not A Broken Company"
180,negative,Tesla Can't Afford To Abandon Its Solar Roof Fantasy
181,negative,Tesla's Problems Only Growing
182,positive,Are Tesla Cars Crazy Expensive To Insure?
183,negative,Tesla Pivots To Oblivion
184,negative,Is Musk Panic-Cutting Expenses Because Tesla Is Going To Miss The Quarter Again?
185,negative,Tesla Can Overcome Supply Constraints In Its Fast-Growing Energy Storage Business
186,positive,Tesla's Debt And Cash Flow Issues Are Overblown
187,negative,Tesla And Maxwell: Assessing The Deal
188,positive,Tesla Inventory A Major Problem
189,negative,"Tesla Trapped Itself With A 90,000+ Deliveries Guidance For Q2 2019"
190,negative,Tesla Robotaxis May Not Be The Gold Mine Musk Imagines
191,negative,Tesla: High Ground Versus Low Ground
192,positive,Tesla's 2012 Model S Is 61% More Efficient Than Audi's New E-Tron
193,negative,The Little-Known Truth About The Carbon Footprint For The Tesla Model 3 And Other BEVs
194,negative,"No, Self-Driving Cars Won't Make Tesla A $500 Billion Company And Here's Why"
195,positive,Tesla Capital Raise A Start
196,negative,Tesla's Solar Business Approaches Terminal Decline
197,positive,Does Tesla Still Have An Edge?
198,negative,Tesla: Kicking The Can A Little Down The Road
199,negative,Tesla: Adding To Risky Projections
200,negative,Elon Musk Is Gambling With Tesla's Future
201,negative,Tesla: Insurance Pivot Likely To Fail
202,negative,"Tesla: Elon Musk Moves The Goal Posts, Again"
203,positive,The Auto Sector's Next Turn: The Market Guide
204,negative,"After Tesla's 86% Model 3 April Sales Decline In Norway, Volkswagen's e-Golf Now Outsells It"
205,negative,"Keeping Tesla At Buy, Lowering PT From $400 To $307"
206,negative,"SEC Settlement With Tesla, Musk Creates New Standard For Social Media Use By Executives"
207,neutral,"No, Tesla Would Not Love To Be In India"
208,negative,Tesla Breaks Down
209,negative,Tesla's Q1 Gross Margins Got An Unexpected And Undisclosed Boost
210,positive,Tesla: 4 Major Questions
211,negative,Elon Musk's Loans Could Smash Tesla Share Price Soon
212,negative,Deal Underwriters Beware: Tesla Could Miss Its Q2 Guidance
213,positive,Tesla: Trading The Pullback
214,negative,Tesla's Bombshell Earnings Is Helped By A Silver Lining
215,positive,Tesla's Data Advantage
216,negative,Tesla: The Numbers Paint A Cloudy Picture
217,positive,Tesla: Pressure On After Earnings
218,negative,Tesla Should See 2019 Net Loss Of $3.5bn
219,positive,Tesla: Why Did The Autonomy Vehicle Day Turn Me Bullish?
220,neutral,Tesla's Model 3 Sales Fall 82% In Norway And 76% In The Netherlands
221,negative,Tesla Robotaxi Plan Is Worse Than Half-Baked
222,positive,The Tesla Circus
223,negative,Tesla Earnings: Q1 Major Questions
224,negative,"Tesla's Accounts Payable Problem - Chronic Rather Than Acute, But Still Severe"
225,neutral,Tesla Re-Runs Its October 2016 Press Conference 2.5 Years Later
226,negative,Tesla: Elon Musk Borrowing Update
227,negative,"Tesla's Q1 Issues Reduce Demand Visibility, But Long-Term Demand Still Appears Healthy"
228,negative,Don't Be Surprised If Tesla Posts A Q1 Profit
229,positive,Tesla: Not Much Hope Left For The Bulls
230,negative,"Tesla - Panasonic Relationship On The Rocks, Poses Risks"
231,negative,Tesla's Long-Range Model 3 Has A Heavier CO2 Footprint Than Toyota's Camry Hybrid
232,negative,Tesla: Growth Plans Fall Short
233,negative,Tesla's Autopilot: Their Most Lucrative Asset
234,negative,"Tesla Model 3 Chaos! Leases, SR And LR Gone, SR+ In The EU, Stealth Price Cuts"
235,negative,Tesla: On The Verge Of A Technical Breakdown
236,positive,Taking The Long View: Will Tesla's Q1 Disaster Turn Into Q4 Triumph?
237,positive,Crash Protection For Tesla After Greenlight's Warning
238,positive,Tesla: The Model 3 Lease Arrives
239,positive,Tesla: Driving America Forward Act Could Hurt Current Sales
240,positive,Panasonic And Tesla Seem To Differ On The Prospects For Model 3 Profitability
241,negative,Some Tesla Investors Are Misled By Popular YouTubers
242,positive,5 Questions For Tesla On Autonomy Investor Day
243,negative,The Biggest Risk To Tesla - It's Just The Auto Cycle
244,positive,Tesla: It Can Get Worse
245,negative,Tesla: Q2 Numbers Will Likely Define The Trajectory
246,negative,Tesla: Bear Admits Car Pool Is A Win
247,negative,Tesla: Cutting Sales Staff Will Cripple Growth Potential
248,negative,Tesla's Rough Ride In The First Quarter
249,positive,Is The Last Call Bell About To Toll For Tesla?
250,positive,"Tesla: The $35,000 Ghost"
251,negative,"Tesla: Q1 Delivery Miss Secured, Future Quarters May Be Worse"
252,positive,Tesla Model 3 Demand Explained
253,negative,Musk's And Tesla's Court Problem To Worsen 2 Weeks From Now
254,negative,Was The Q1 Disaster A Surprise To Tesla Management?
255,negative,"Tesla: Unsold Inventory Soars 51% To Record 18,879 Units In Q1"
256,positive,Tesla Q1 Was Really Bad
257,negative,Tesla And Norway: We Hardly Knew Ya!
258,negative,Tesla: Q1 Headwinds Could Create A Buying Opportunity
259,negative,5 Soft Reasons To Reconsider A Tesla Position
260,negative,Tesla Sales Staff Fight For Survival Amid Quarter-End Push
261,positive,Tesla's Growing GHG Credit Treasure Chest
262,negative,How Audi's And Jaguar's EVs Outsold Tesla Model S And X In Europe
263,negative,"My Q1 2019 Unit Sales Estimate For Tesla: 60,828, Down 33% From Q4 2018"
264,negative,Tesla: It's Time For A Customer And Investor Reality Check
265,positive,Tesla: The Final Countdown
266,negative,Tesla: 2019 Production Guidance Mayhem
267,positive,Tesla Needs More Customers!
268,positive,Tesla's Model Y: Brace For Market Impact
269,positive,Last Days For Musk?
270,positive,Tesla Needs Strong Q1 Finish
271,negative,Tesla And The Governments II: Swimming Against The Tide
272,negative,"Tesla, Waymo, And Autonomous Driving Via Imitation Learning"
273,positive,The Tesla Network Is Dead
274,positive,Will The Model Y Bankrupt Tesla?
275,positive,Tesla's Sales Moat
276,negative,12 Tesla Questions The SEC Should Ask Musk At The Evidentiary Hearing
277,positive,Tesla Does A Business Plan Reset
278,positive,Tesla: Model Y Hail Mary
279,positive,Is The Street Ready For A 33% Tesla Unit Delivery Miss In Q1?
280,positive,Tesla Shareholders Must Separate Ideology From The Investment
281,negative,ETF Inclusion Of Tesla: Profits Over Production
282,negative,Tesla Supercharger V3 A Dud
283,negative,Will Tesla Ever Post Another Profit?
284,negative,Tesla Demand: Poking The Bear Thesis
285,negative,Tesla's Rushed Model Y Unveiling Looks Like Desperation
286,positive,Tesla: Price Cuts Spark Chinese Fury
287,negative,Tesla's Model Y Unveiling March 14 - Why It's Important
288,negative,Tesla Unsecured Debt: Recovery Tops Out At ~30c (If You're Lucky)
289,positive,Tesla: Walls Are Closing In
290,positive,Making A 180-Degree Turn On Maxwell Technologies
291,negative,The Tesla $35K Model 3: Not Quite Short Squeeze Material
292,positive,The Secret Tesla Conference Call To Which You Were Not Invited
293,negative,Where The Tesla Bears Are Wrong
294,positive,Tesla: The Master Plan Begins To Unravel
295,neutral,A Closer Look At Tesla's Updated Model 3 Portfolio
296,negative,Tesla: Where's The Beef?
297,negative,"Tesla: SEC Latest Action Unfounded, Short Squeeze Possible"
298,positive,Tesla: The Setup
299,positive,Tesla Self-Driving: Now What?
300,negative,Tesla's $35K Model 3: Coming Soon
301,negative,Tesla: Playing With SEC Fire
302,positive,Tesla: High-End Competition?
303,negative,Tesla: Factors Dragging Down The Share Price
304,negative,Tesla: Musk Indulges In A Self-Driving Car Fantasy Once Again
305,negative,Tesla: Demand Truth Coming Soon
306,negative,Tesla's Low 2019 Capex Could Harm Its Growth Story And Brand Value
307,positive,Stock Option Liabilities Add Additional Risk To Owning Tesla
308,positive,The Evolution Of Tesla's Regulatory Credit Revenue
309,negative,Elon Musk On Tesla's Autonomous Tech: Our Data Advantage Is Hard To Overcome
310,positive,Nio Could Be Tesla's Biggest Threat
311,positive,Tesla Model 3 Leasing: Sooner Or Later?
312,negative,Tesla 10-K: Some Curious Items
313,negative,Tesla's 10-K Suddenly Reveals Regulatory Approval Uncertainty For The China Factory
314,negative,Tesla: Overvalued After Q4 Earnings Announcement
315,positive,Tesla: The Importance Of A Chinese Gigafactory
316,negative,Government Pressure Mounts On Tesla's Struggling Solar Unit
317,positive,3 Important Things You Might Have Missed On Tesla's Q4 Earnings Call
318,positive,Why Tesla's Model 3 Price Cuts Aren't About Demand
319,positive,Tesla Model 3 Drives Off The Demand Cliff
320,positive,Has Model 3 Demand Really Collapsed In The U.S.? Ask Tesla
321,negative,Tesla Short Squeeze Chances Fall
322,negative,Tesla Bears Retreat
323,negative,Tesla: Promoted To A 'Favorite' Short
324,negative,Tesla 2019 Starting Very Slowly
325,negative,Tesla: Weak Model 3 Demand In Europe And China May Widen Losses In 2019
326,negative,Tesla's Perplexing Pricing
327,negative,Tesla's Solar Business Is Falling Apart
328,negative,Tesla's Largest Competitive Advantage
329,positive,A Closer Look At The Tesla - Maxwell Technologies Deal
330,negative,Tesla: Dog And Pony Show
331,negative,Tesla: Cash Coming Into Focus
332,positive,China Project Integral To Tesla's Future
333,negative,Tesla: Q4 Invalidates The Bull Thesis
334,positive,Tesla's Bright Outlook In 2019
335,negative,Valuing Tesla Based On Vehicle Sales And Autonomy
336,negative,Tesla Still Stuck In The Mud In China
337,positive,"Heads, Tesla Wins"
338,negative,"Norway's BEV Market Grew 40% In January, But Tesla's Sales Fell 13%"
339,positive,Stanphyl Capital Letter - January 2019
340,negative,Tesla Solar Shenanigans Continue
341,negative,Tesla's 2018 Ideology Shift
342,neutral,The Many Puzzling Non-Answers Tesla Provided On The Conference Call
343,negative,Tesla: Unsettling Comments From The Earnings Call
344,positive,3 Key Things On The Tesla Numbers
345,negative,Tesla: Q4 Validates The Bull Thesis
346,negative,Tesla Q4 Raises Growth Concerns
347,negative,Tesla Stock: Wake Up And Sell The Reality
348,negative,Tesla: The Powerpack Business And Competing Technologies
349,negative,The Tesla Killers Are Finally Here
350,negative,Tesla Bears Beware
351,negative,Tesla: Here's Why I Just Increased My Position By 42%
352,positive,Tesla Earnings: 3 Major Questions
353,positive,Tesla's $920 Million Convertible - The Options Have Shrunk
354,negative,3 Myths About Tesla That Need To Be Squashed
355,positive,Tesla May Not Make It Past Q1 Without Vendor Concessions Or A Capital Raise
356,positive,Battery Supply And Energy Storage Are Central To Tesla's Future
357,negative,Tesla's Almost Useless Order Percentage 'Factoid'
358,negative,Tesla Nearing March Debt Maturity
359,negative,Tesla: End Of Customer Referral Program Weakens Bull Case
360,negative,Tesla: The Tale Of Vehicle Registrations Continues
361,negative,Tesla: Reality Sets In
362,negative,Tesla's Solar Asset Performance Will Ultimately Determine VIE Cash Flows
363,positive,Tesla: Was The Selloff An Overreaction?
364,positive,Is Tesla Special?
365,positive,Battery Tech: Is Panasonic Leaving Tesla In The Dust?
366,negative,Tesla Raises Supercharger Prices 19% - Now Twice As Expensive As A Toyota Hybrid
367,positive,Tesla Customers Just Keep Losing
368,negative,Tesla's Supercharger Network: A Significant Competitive Advantage That's Rapidly Evaporating
369,neutral,Tesla: A Difficult Road Ahead Or The End Of The Road?
370,negative,Elon Musk Has Buried The Tesla Growth Narrative
371,positive,Tesla Inc.: Poor Analysis Of VIE Exposure Is Misleading; Quick Comment On Layoffs
372,positive,Tesla: We Have A Problem
373,positive,Why Tesla Will Continue To Lead EV Sales For The Foreseeable Future
374,negative,Tesla: Where's The Twitter Monitor?
375,positive,Tesla's Day Of VIE Reckoning Approaches
376,negative,Volkswagen's Electricity Price Undercuts Tesla's Superchargers By 35% To 66%
377,neutral,"East 72 Quarterly Report Period To December 31, 2018"
378,positive,Why Tesla Will Likely Achieve New All-Time Highs In 2019
379,positive,Tesla: Another Shakeup
380,negative,Tesla: Major Q1 Delivery Miss Seems Likely
381,negative,"BYD, Tesla Chasing Different E-Truck Dreams"
382,positive,Stanphyl Capital Letter - December 2018
383,negative,Tesla: These Numbers Aren't Good
384,negative,Tesla Massively Delays U.S. Title Registrations For Its Cars
385,neutral,Is Tesla Allowed To Sell The Model 3 In Europe?
386,positive,Tesla: Model 3 Demand Cliff In Sight
387,negative,Tesla Q4 $641 Million Net Profit Estimate And Possible Model Y Factory
388,negative,"Tesla: Unsold Model 3s Climb To 7,000-Plus"
389,positive,Tesla: Institutional Investors Return
390,negative,Tesla: Q4 Deliveries Fall Short
391,negative,Tesla: The Autonomy Thesis
392,negative,The Tesla Growth Narrative Quietly Winds Down
393,negative,Tesla: Demand Pull-Forward Risk
394,positive,Tesla Offers To Forgive Your Lease Payments If You Take Delivery By Dec. 31
395,negative,Tesla Q4 2018 Delivery Preview
396,positive,Tesla Should Have No Problem Sustaining Demand
397,negative,"Tesla Stock: Irrational Exuberance With Staying Power, For Now"
398,negative,"Tesla Down 40% In Norway's Q4, 63% Of Which Explained By Jaguar"
399,negative,Tesla: Why Trust Elon Musk Now?
400,positive,Tesla Hits A Wall In China
401,negative,Tesla: Long-Time Bullish Analyst Flashes Warning Signs
402,positive,Will Tesla Build Model Y In Lathrop?
403,positive,Tesla Questions To Be Answered
404,negative,"Tesla: Musk Doesn't Respect The SEC, But Bondholders Don't Respect Musk"
405,negative,"Tesla Model 3 Gets Formidable Challenger In $37,495 Hyundai Kona EV SUV"
406,positive,Model 3's Path To Segment Domination
407,negative,Tesla's Model 3 Sales Now Face Uphill Battle As U.S. Backlog Appears Exhausted And Tax Credit Is Expiring
408,positive,Tesla: Quick Look At The 2019 Convertible Settlement
409,negative,Tesla Likely To Miss Sales Targets For Model 3
410,negative,Tesla: An Unlikely Beacon Of Light In A Very Stormy Market
411,positive,How Will Tesla's Model 3 Fare In 2019?
412,neutral,"Tesla To 90,000: Delivery Forecasts For The Fourth Quarter"
413,negative,Projecting Tesla's Fourth Quarter Results: Boom Or Bust?
414,positive,Tesla: A Costly Legal Battle?
415,negative,Elon Musk On 60 Minutes: More Than An SEC Fight
416,positive,Tesla: The 60 Minutes Scare
417,negative,Tesla: More Margin Pressure On The Horizon
418,positive,Tesla: The Short Thesis Is Dying
419,positive,A Tale Of Two Teslas
420,positive,"Tesla: $35,000 Model 3 Still Out Of Reach"
421,positive,Tesla Model 3 Production Burst Is Not Sustainable
422,positive,Tesla Bonds Telling Different Story
423,negative,Steep Road Ahead For Tesla To Justify The Premium Valuation
424,negative,"Tesla: Brass Ring Grasped, But Not Secured"
425,positive,Why I'm Selling Tesla Shares
426,negative,Tesla: Revisiting The Threat Of Competition
427,positive,"Yes, Tesla Is Fairly Valued"
428,positive,Tesla: Winter Is Coming
429,negative,Elon Musk Admits Tesla Was Weeks Away From 'Dying' - 13 Questions He Must Now Answer
430,negative,Tesla Spends Thanksgiving In Production Hell
431,negative,Tesla Mystery Shopper Report: Model 3 Version
432,negative,Tesla: The Nature Of European End-Of-Quarter Bursts
433,negative,The Logical Extrapolation From Tesla's Price Cut In China?
434,positive,Why Hardware 3 Is Tesla's Dark Horse
435,positive,Artko Capital Q3 2018 Commentary
436,negative,Tesla Stellar Run Limits Further Upside
437,negative,The New 39 MPG Toyota SUV Vs. Tesla Model 3: Same Fuel Cost Per Mile
438,positive,Tesla Wants To Make Model 3 The Top-Selling Sedan In December
439,negative,Tesla Delays Are Piling Up
440,negative,The Good Ship Tesla Is Sailing Into The Perfect Storm
441,positive,Tesla: Did Someone Fail Math?
442,negative,"It's Not Just Norway: Jaguar's Electric Car Is Beating Tesla In Other European Countries, Too"
443,positive,Norway Goes Cold On Tesla This Winter
444,negative,Tesla Supercharging Advantage Shrinking
445,positive,Why Volkswagen's Model 3 'Rival' Is Good For Tesla
446,positive,Tesla: Is There Really Gold In EV Paradise?
447,positive,"The Price Of Volkswagen's Tesla Model 3 Competitor? $23,000, According To Reuters"
448,neutral,Tesla's Energy Storage Business Set To Come Into Its Own
449,positive,Daimler And Tesla?
450,positive,Tesla And The Governments
451,negative,Tesla Turns Up The Heat On Autonomy
452,positive,Tesla: The Q3 Accounts Receivable Mystery
453,negative,Tesla Headwinds Continue To Grow
454,negative,A More Rational Tesla Valuation And Sensitivity Analysis
455,negative,"As Many Bears Capitulate Or Even Reverse Course, I've Added To My Tesla Short"
456,positive,Tesla: Back From The Brink?
457,negative,"Teslaquila: Net Profits For 2018, Here's How"
458,negative,"Tesla, Dieselgate, And The Future"
459,negative,Here's How We Short Tesla And Still Sleep Soundly
460,negative,Tesla Can't Get Its Story Straight
461,positive,A Closer Look At Tesla Q3 Margins
462,positive,"Tesla's 10-Q Reveals Q3 May Not Have Been Profitable, After All"
463,negative,2 Big Reasons For Tesla's Strong Quarter
464,negative,"Upgrading Tesla To A Buy, $425 PT On Profitability"
465,negative,Tesla Solar Roof Is Still Fantasy 2 Years After Debut
466,negative,How Does Q3 Profit Shake Out For Tesla Bulls And Bears?
467,neutral,"Based On Q3 Cash Flow, Tesla Is Worth $20 Billion"
468,negative,Tesla: Some Spooky Charts
469,positive,Tesla: Too Far Too Fast?
470,negative,Tesla Without Elon Musk
471,negative,Tesla: Q3 2018 Update - SG&A And Profitability
472,positive,3 Critical Notes On The Tesla Earnings Call
473,negative,Tesla: A Profit Against All Odds (And Naysayers)
474,positive,Why I Won't Sell Tesla Short Going Forward
475,negative,Tesla Is Now A Self-Funding AI Lab
476,positive,Tesla: Examining Major Red Flags
477,positive,Yesla!
478,negative,Tesla Delivers A Blockbuster Third Quarter
479,positive,Tesla: Meeting Expectations
480,positive,"Tesla's Q3 Beat Expectations, But Guidance For Q4 And Q1 Was Weak"
481,negative,"Everything's Coming Up Tesla: Smashing Expectations On Revenue, Profits, Gross Margins, And More"
482,positive,Tesla Q3 Smashes Expectations
483,negative,"Tesla: Great Company, Terrible Investment"
484,negative,Tesla Earnings Preview: Setting The Bar For Tomorrow's Extravaganza
485,positive,Can Tesla Be Like Amazon And Netflix?
486,negative,Tesla Full Self-Driving Called Out As Vaporware: Prepare For Harsh Consequences
487,negative,Tesla: A Bear Refuting The Competition Argument
